,Company,Brand,Appliance,Energy Consumption,SKU
2634,Whirlpool Corporation,Acros,Dish Washer,,SKU-82289
2635,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Refrigerator,0,SKU-93251
2636,AB Electrolux / Investor AB,Somela,Kettle,400W,SKU-70627
2637,Gorenje,Körting,Refrigerator,325W,SKU-16905
2638,Candy Group,Baumatic,Kettle,250W,SKU-20462
2639,Samsung Group,Samsung,Stove,,SKU-65535
2640,Miele & Cie. KG,Miele,Washer,,SKU-99082
2641,Whirlpool Corporation,Polar,Refrigerator,0,SKU-97539
2642,AB Electrolux / Investor AB,REX-Electrolux,Stove,,SKU-74696
2643,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Washer,425W,SKU-75519
2644,AB Electrolux / Investor A,Chef,Dish Washer,,SKU-70970
2645,Candy Group,Zerowatt,Freezer,0,SKU-1623
2646,Whirlpool Corporation,KitchenAid,Toaster,,SKU-44205
2647,The Meyer Corporatio,Hestan,Stove,0,SKU-17534
2648,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Kettle,300W,SKU-17066
2649,AB Electrolux / Investor AB,Fensa,Washer,0,SKU-81817
2650,Whirlpool Corporatio,Ariston,Kettle,0,SKU-32560
2651,Gorenje,Mora,Dryer,425W,SKU-46653
2652,AB Electrolux / Investor AB,Prosdócimo,Stove,,SKU-13514
2653,AB Electrolux / Investor AB,Philco,Dryer,,SKU-52824
2654,Candy Group,Candy,Refrigerator,0,SKU-88469
2655,Currys / Dixons Carphone plc,Logik,Dish Washer,325W,SKU-42562
2656,Candy Group,Baumatic,Stove,,SKU-44672
2657,Arçelik A.Ş. / Koç Holding,Leisure,Toaster,400W,SKU-64596
2658,Currys / Dixons Carphone plc,Logik,Toaster,,SKU-56318
2659,Miele & Cie. KG,Miele,Freezer,475W,SKU-59428
2660,Montpellier Domestic Appliances Ltd,Montpellier,Dryer,415,SKU-98625
2661,De’Longhi S.p.A,DeLonghi,Dryer,0,SKU-65167
2662,Whirlpool Corporation,Estate,Freezer,120W,SKU-69242
2663,BSH Hausgeräte GmbH / Robert Bosch GmbH,Gaggenau,Refrigerator,,SKU-55216
2664,Fhiaba S.r.l,Fhibia,Refrigerator,0,SKU-71139
2665,Whirlpool Corporation,Acros,Stove,300W,SKU-40107
2666,Smeg Group S.p.A,Smeg,Refrigerator,0,SKU-59595
2667,"Sub-Zero Group, Inc",Wolf,Washer,,SKU-52723
2668,GlenDimple,Belling,Washer,,SKU-77442
2669,Candy Group,Otsein Hoover,Toaster,,SKU-78419
2670,Whirlpool Corporation,Privileg,Dryer,300W,SKU-8064
2671,BSH Hausgeräte GmbH / Robert Bosch GmbH,Siemens,Freezer,,SKU-44740
2672,AB Electrolux / Investor AB,Tappan,Dryer,425W,SKU-99990
2673,Arçelik A.Ş. / Koç Holding,Defy,Dryer,475W,SKU-60581
2674,GlenDimple,Belling,Kettle,0,SKU-19274
2675,Fhiaba S.r.l,Fhibia,Freezer,200,SKU-62112
2676,IKEA,IKEA,Dish Washer,,SKU-98524
2677,Arçelik A.Ş. / Koç Holding,Arçelik,Washer,200,SKU-97539
2678,AB Electrolux / Investor AB,Alpeninox,Freezer,0,SKU-27294
2679,AB Electrolux / Investor AB,Lehel,Kettle,,SKU-20364
2680,AB Electrolux / Investor AB,Electrolux,Stove,400W,SKU-92561
2681,Whirlpool Corporation,Estate,Dish Washer,,SKU-9076
2682,AM Kodinkoneet Oy / Gorenje Group Nordic A/S / Gorenje,UPO,Kettle,0,SKU-89352
2683,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Refrigerator,,SKU-28137
2684,Candy Group,Rosières,Dish Washer,,SKU-42168
2685,Candy Group,Otsein Hoover,Washer,200,SKU-57219
2686,Whirlpool Corporation,Roper,Toaster,425W,SKU-9650
2687,Bauknecht Hausgeräte GmbH / Whirlpool Corporation,Bauknecht,Kettle,120W,SKU-47905
2688,Gorenje,Gorenje,Washer,,SKU-43740
2689,Smeg Group S.p.A,Smeg,Refrigerator,0,SKU-1957
2690,GlenDimple,Belling,Dryer,425W,SKU-37337
2691,Whirlpool Corporation,KitchenAid,Dryer,0,SKU-74766
2692,AB Electrolux / Investor A,Chef,Dryer,500W,SKU-45573
2693,Whirlpool Corporation,KitchenAid India,Dish Washer,200,90310
2694,AB Electrolux / Investor AB,Corberó,Toaster,415,SKU-21998
2695,Whirlpool Corporatio,Ariston,Stove,0,SKU-37744
2696,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Dryer,,SKU-25417
2697,Candy Group,Iberna,Toaster,,SKU-51728
2698,Arçelik A.Ş. / Koç Holding,Arctic,Stove,300W,SKU-52004
2699,Mondragon Corporation,De Dietrich,Refrigerator,400W,SKU-93623
2700,Gorenje,Pelgrim,Refrigerator,0,SKU-34726
2701,GlenDimplex,Cadet,Kettle,0,SKU-60645
2702,Whirlpool Corporation,Amana,Washer,,SKU-28867
2703,BSH Hausgeräte GmbH / Robert Bosch GmbH,Gaggenau,Dryer,425W,SKU-63237
2704,GlenDimplex,Nobo,Freezer,425W,SKU-69259
2705,AB Electrolux / Investor AB,Gafa,Dryer,200,SKU-23319
2706,Arçelik A.Ş. / Koç Holding,Flavel,Toaster,,SKU-25788
2707,"Indesit Company, Whirlpool Corporation",Stinol,Dryer,475W,91304
2708,GlenDimplex,Faber,Toaster,,SKU-18059
2709,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Stove,,SKU-93336
2710,Gorenje,Mora,Stove,425W,SKU-9962
2711,GlenDimplex,Campo,Dryer,250W,SKU-7434
2712,Candy Group,Vyatka,Stove,,SKU-69667
2713,BSH Hausgeräte GmbH / Robert Bosch GmbH,Neff,Kettle,,SKU-81764
2714,Whirlpool Corporation,Whirlpool,Stove,400W,SKU-34246
2715,GlenDimplex,Stoves,Refrigerator,200,SKU-47434
2716,Home Retail Group plc / J Sainsbury plc,Bush,Washer,,SKU-4365
2717,BSH Hausgeräte GmbH / Robert Bosch GmbH,Siemens,Dish Washer,415,SKU-3602
2718,Meneghetti S.p.A,Fulgor Milano,Washer,425W,SKU-11501
2719,AB Electrolux / Investor AB,Simpson,Dish Washer,0,SKU-47360
2720,AB Electrolux / Investor AB,Dometic,Refrigerator,475W,SKU-76934
2721,AB Electrolux / Investor AB,Westinghouse,Dish Washer,0,SKU-40833
2722,Arçelik A.Ş. / Koç Holdin,Arstil,Stove,,SKU-88021
2723,Arçelik A.Ş. / Koç Holding,Dawlance,Washer,,SKU-47004
2724,Viking Range Corporation / The Middleby Corporation,Viking,Dryer,300W,SKU-38672
2725,Miele & Cie. KG,Miele,Stove,,SKU-58164
2726,AB Electrolux / Investor AB,White-Westinghouse,Kettle,325W,SKU-23925
2727,Whirlpool Corporation,Consul,Refrigerator,0,SKU-88503
2728,Smeg Group S.p.A,Smeg,Stove,0,SKU-21595
2729,AB Electrolux / Investor AB,Tappan,Washer,325W,SKU-97060
2730,Viking Range Corporation / The Middleby Corporation,Viking,Freezer,0,SKU-19323
2731,Candy Group,Jinling,Stove,250W,SKU-44676
2732,Whirlpool Corporatio,Ariston,Dryer,,SKU-55029
2733,Mondragon Corporation,Brandt,Freezer,0,SKU-89894
2734,Bauknecht Hausgeräte GmbH / Whirlpool Corporation,Bauknecht,Freezer,0,SKU-77771
2735,AB Electrolux / Investor AB,Gafa,Washer,0,SKU-36892
2736,BSH Hausgeräte GmbH / Robert Bosch GmbH,Zelmer,Dish Washer,325W,SKU-55103
2737,Samsung Group,Samsung,Refrigerator,0,SKU-64310
2738,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Freezer,415,SKU-61071
2739,Bauknecht Hausgeräte GmbH / Whirlpool Corporation,Bauknecht,Washer,,SKU-36869
2740,Candy Group,Süsler,Freezer,,SKU-85848
2741,AB Electrolux / Investor AB,Tappan,Refrigerator,,SKU--65940
2742,AB Electrolux / Investor AB,REX-Electrolux,Toaster,0,SKU-80976
2743,AB Electrolux / Investor AB,Fensa,Dish Washer,,SKU-90072
2744,Miele & Cie. KG,Miele,Dryer,300W,SKU-47728
2745,The Meyer Corporatio,Hestan,Freezer,250W,SKU-22777
2746,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Kettle,,SKU-46141
2747,GlenDimplex,Cadet,Stove,475W,SKU-11497
2748,Whirlpool Corporation,Diqua,Kettle,,SKU-98354
2749,The Middleby Corporation,Marvel,Toaster,425W,SKU-46693
2750,BSH Hausgeräte GmbH / Robert Bosch GmbH,Zelmer,Kettle,425W,SKU-19591
2751,GlenDimplex,New World,Washer,400W,SKU-92422
2752,Whirlpool Corporation,Consul,Refrigerator,200,SKU-62815
2753,AB Electrolux / Investor AB,Alpeninox,Washer,,SKU-77676
2754,Dayou Group,Daewoo,Stove,425W,SKU-21628
2755,Gorenje,Etna,Dryer,400W,SKU-31646
2756,BSH Hausgeräte GmbH / Robert Bosch GmbH,Gaggenau,Washer,,SKU-86395
2757,AB Electrolux / Investor AB,Anova,Freezer,300W,SKU-6399
2758,GlenDimplex,Campo,Toaster,0,SKU-43717
2759,AB Electrolux / Investor AB,Dishlex,Toaster,415,SKU--97241
2760,AB Electrolux / Investor AB,Dishlex,Kettle,0,SKU-98587
2761,Samsung Group,Samsung,Freezer,,SKU-94872
2762,Candy Group,Süsler,Kettle,200,SKU-76399
2763,AB Electrolux / Investor AB,Olympic Group,Stove,,SKU-29796
2764,Whirlpool Corporatio,Ariston,Washer,,SKU-7712
2765,AB Electrolux / Investor A,Chef,Freezer,300W,SKU-59358
2766,AB Electrolux / Investor AB,Anova,Refrigerator,,SKU-81949
2767,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Washer,,SKU-57467
2768,Whirlpool Corporation,Whirlpool,Dish Washer,325W,SKU-31328
2769,Home Retail Group plc / J Sainsbury plc,Bush,Kettle,,SKU-47697
2770,Mondragon Corporation,De Dietrich,Dish Washer,0,SKU-58458
2771,AB Electrolux / Investor AB,Fensa,Toaster,,SKU-81721
2772,The Middleby Corporation,La Cornue,Dryer,250W,SKU-84086
2773,Candy Group,Jinling,Freezer,500W,SKU-98264
2774,AB Electrolux / Investor AB,Mademsa,Dish Washer,,SKU-11633
2775,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Stove,0,SKU-39846
2776,Gorenje,Sidex,Toaster,0,SKU-30069
2777,Arçelik A.Ş. / Koç Holding,Grundig,Toaster,,SKU-35902
2778,AB Electrolux / Investor AB,Fensa,Dryer,0,SKU-3144
2779,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Kettle,,SKU-2088
2780,Viking Range Corporation / The Middleby Corporation,Viking,Washer,,SKU-40331
2781,Whirlpool Corporation,Estate,Washer,0,SKU-21907
2782,Smeg Group S.p.A,Bertazzoni,Toaster,,SKU-74076
2783,"Indesit Company, Whirlpool Corporation",Termogamma,Dish Washer,0,SKU-95849
2784,BSH Hausgeräte GmbH / Robert Bosch GmbH,Balay,Dryer,,SKU-85167
2785,Fnac,ProLine,Refrigerator,200,SKU-44311
2786,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Toaster,300W,SKU-10449
2787,Amica Wronki S.A,Amica,Dish Washer,250W,SKU-90649
2788,Whirlpool Corporation,Inglis,Washer,0,SKU-50836
2789,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Refrigerator,200,SKU-88147
2790,Montpellier Domestic Appliances Ltd,Montpellier,Refrigerator,400W,SKU-84193
2791,"LG Electronics, LG Corporation",LG,Dryer,0,SKU-55931
2792,AB Electrolux / Investor AB,AEG,Dryer,400W,SKU-74845
2793,Candy Group,Vyatka,Kettle,,SKU-53092
2794,Smeg Group S.p.A,Smeg,Dryer,0,SKU-78580
2795,GlenDimplex,Faber,Washer,475W,SKU-11352
2796,AB Electrolux / Investor AB,Olympic Group,Kettle,400W,SKU-97393
2797,AB Electrolux / Investor AB,Olympic Group,Washer,0,SKU-91995
2798,AB Electrolux / Investor AB,Voss,Dish Washer,500W,SKU-92205
2799,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Refrigerator,425W,SKU-3660
2800,Candy Group,Rosières,Refrigerator,,SKU-98440
2801,AB Electrolux / Investor AB,Tricity Bendix,Refrigerator,0,SKU-72845
2802,Whirlpool Corporation,Gladiator GarageWorks,Toaster,,SKU-61455
2803,Gorenje,Pelgrim,Kettle,0,SKU25387
2804,GlenDimplex,Britannia,Freezer,400W,SKU-47475
2805,GlenDimple,Belling,Refrigerator,0,SKU-34399
2806,AB Electrolux / Investor A,Chef,Kettle,,SKU-73213
2807,GlenDimplex,Nobo,Dryer,,SKU-96334
2808,AB Electrolux / Investor AB,Gibson,Kettle,250W,SKU-62677
2809,Mondragon Corporation,Fagor,Freezer,325W,SKU-99891
2810,GlenDimplex,Stoves,Dryer,0,SKU-78531
2811,Whirlpool Corporation,Admiral,Freezer,415,SKU26493
2812,Arçelik A.Ş. / Koç Holding,Flavel,Kettle,,SKU-43221
2813,Arçelik A.Ş. / Koç Holding,Dawlance,Toaster,,SKU-25071
2814,Whirlpool Corporation,Brastemp,Dryer,,SKU-64627
2815,Smeg Group S.p.A,Smeg,Dryer,,SKU-42125
2816,Candy Group,Rosières,Dryer,325W,SKU-58557
2817,De’Longhi S.p.A,DeLonghi,Washer,425W,SKU-22915
2818,Whirlpool Corporatio,Ariston,Toaster,,SKU-14358
2819,Whirlpool Corporation,Estate,Stove,,SKU-90177
2820,GlenDimplex,Cadet,Stove,,SKU-25528
2821,Gorenje,Körting,Kettle,300W,SKU-16855
2822,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Kettle,300W,SKU-18128
2823,Gorenje,Körting,Washer,250W,SKU-11738
2824,The Meyer Corporatio,Hestan,Refrigerator,250W,SKU-23942
2825,The Middleby Corporation,Marvel,Stove,0,SKU-22359
2826,AB Electrolux / Investor AB,FAure,Dish Washer,0,SKU-78123
2827,AB Electrolux / Investor AB,Gafa,Stove,415,SKU-70364
2828,Candy Group,Jinling,Stove,415,SKU-47950
2829,Whirlpool Corporation,Maytag,Refrigerator,500W,SKU-15196
2830,Meneghetti S.p.A,Fulgor Milano,Dish Washer,0,SKU-95798
2831,AB Electrolux / Investor AB,Olympic Group,Kettle,400W,SKU-95717
2832,Candy Group,Candy,Kettle,,SKU-30437
2833,Fnac,ProLine,Refrigerator,0,SKU-44319
2834,Candy Group,Vyatka,Refrigerator,415,SKU-72794
2835,Arçelik A.Ş. / Koç Holding,Dawlance,Kettle,,SKU-72403
2836,AB Electrolux / Investor AB,Zanker,Kettle,415,SKU-67411
2837,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Washer,0,SKU-49947
2838,Gorenje,Körting,Dish Washer,200,SKU-5019
2839,AB Electrolux / Investor AB,Electrolux,Kettle,0,SKU-54847
2840,AB Electrolux / Investor AB,Gibson,Toaster,0,SKU-86039
2841,De’Longhi S.p.A,DeLonghi,Stove,325W,SKU-88381
2842,AB Electrolux / Investor AB,REX-Electrolux,Dryer,475W,SKU-38679
2843,AB Electrolux / Investor AB,Alpeninox,Dryer,300W,SKU-56559
2844,Candy Group,Zerowatt,Stove,300W,SKU-14265
2845,Candy Group,Iberna,Dryer,,SKU-4572
2846,"Indesit Company, Whirlpool Corporation",Termogamma,Refrigerator,,SKU-94956
2847,Meneghetti S.p.A,Fulgor Milano,Toaster,,SKU-62183
2848,Gorenje,Etna,Dish Washer,325W,SKU-83138
2849,Candy Group,Zerowatt,Refrigerator,0,SKU-8912
2850,AB Electrolux / Investor AB,Olympic Group,Dryer,325W,SKU-86176
2851,Whirlpool Corporation,Jenn-Air,Kettle,475W,SKU-35415
2852,The Meyer Corporatio,Hestan,Freezer,,SKU-93888
2853,Smeg Group S.p.A,Bertazzoni,Dryer,325W,SKU-13492
2854,Candy Group,Zerowatt,Refrigerator,325W,SKU-3270
2855,"Hotpoint, Whirlpool Corporation",Hotpoint,Dish Washer,415,SKU-91921
2856,AB Electrolux / Investor AB,Corberó,Kettle,400W,SKU-66227
2857,Montpellier Domestic Appliances Ltd,Montpellier,Washer,120W,SKU-29443
2858,Whirlpool Corporation,Estate,Washer,120W,SKU-54874
2859,AB Electrolux / Investor AB,Westinghouse,Stove,,SKU-92638
2860,AB Electrolux / Investor AB,Simpson,Dish Washer,,SKU-39080
2861,AB Electrolux / Investor AB,FAure,Dryer,300W,SKU-13514
2862,AB Electrolux / Investor AB,Voss,Freezer,400W,SKU-39569
2863,AB Electrolux / Investor AB,REX-Electrolux,Dish Washer,,SKU-77001
2864,Smeg Group S.p.A,Bertazzoni,Stove,,SKU-9559
2865,Gorenje,Pelgrim,Dish Washer,400W,SKU-32439
2866,Candy Group,Baumatic,Toaster,325W,SKU-49941
2867,Whirlpool Corporation,KitchenAid India,Refrigerator,,SKU-94980
2868,AB Electrolux / Investor A,Frigidaire,Washer,300W,SKU-76609
2869,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Stove,475W,SKU-15113
2870,GlenDimplex,Creda,Freezer,0,SKU-20024
2871,AB Electrolux / Investor AB,Simpson,Kettle,475W,SKU-72780
2872,Whirlpool Corporation,Amana,Toaster,120W,SKU-78176
2873,Whirlpool Corporation,Consul,Dryer,0,SKU-34021
2874,AB Electrolux / Investor AB,Tricity Bendix,Washer,0,SKU-68201
2875,Home Retail Group plc / J Sainsbury plc,Bush,Dish Washer,,SKU-1264
2876,John Lewis Partnership,John Lewis,Dryer,475W,SKU-98691
2877,Gorenje,Mora,Refrigerator,475W,SKU-97574
2878,Arçelik A.Ş. / Koç Holding,Defy,Dryer,415,SKU-43391
2879,BSH Hausgeräte GmbH / Robert Bosch GmbH,Balay,Washer,,SKU-75675
2880,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Freezer,,62287
2881,AB Electrolux / Investor AB,Zanussi,Freezer,120W,SKU-3661
2882,The Middleby Corporation,Marvel,Freezer,,SKU-1524
2883,BSH Hausgeräte GmbH / Robert Bosch GmbH,Balay,Refrigerator,,SKU-40048
2884,AB Electrolux / Investor AB,Dishlex,Stove,325W,SKU-4147
2885,AB Electrolux / Investor AB,Kelvinator,Dryer,415,SKU-20089
2886,AB Electrolux / Investor AB,Electrolux ICON,Refrigerator,,SKU-19560
2887,IKEA,IKEA,Dish Washer,500W,SKU-36615
2888,Miele & Cie. KG,Miele,Freezer,475W,SKU-10099
2889,Arçelik A.Ş. / Koç Holding,Grundig,Refrigerator,400W,SKU-84099
2890,AB Electrolux / Investor A,Frigidaire,Toaster,500W,SKU-53185
2891,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Kettle,,SKU-63501
2892,BSH Hausgeräte GmbH / Robert Bosch GmbH,Gaggenau,Dryer,250W,SKU-34835
2893,AB Electrolux / Investor AB,Mademsa,Washer,0,SKU-22437
2894,AB Electrolux / Investor AB,Electrolux,Kettle,0,SKU-27559
2895,IKEA,IKEA,Dish Washer,,SKU-62535
2896,Montpellier Domestic Appliances Ltd,Montpellier,Stove,,SKU-78291
2897,Gorenj,Atag,Freezer,,SKU-89666
2898,AB Electrolux / Investor AB,Prosdócimo,Refrigerator,0,SKU-48692
2899,AB Electrolux / Investor AB,Corberó,Kettle,120W,SKU-75920
2900,AB Electrolux / Investor AB,Prosdócimo,Dryer,300W,SKU-10449
2901,Whirlpool Corporatio,Ariston,Dryer,0,SKU-62682
2902,AB Electrolux / Investor AB,Somela,Refrigerator,,SKU-79954
2903,Fhiaba S.r.l,Fhibia,Refrigerator,250W,SKU-57329
2904,AB Electrolux / Investor AB,Anova,Washer,200,SKU-87303
2905,Whirlpool Corporation,KitchenAid,Freezer,300W,SKU-99430
2906,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Dish Washer,0,SKU-99648
2907,GlenDimplex,Campo,Refrigerator,0,SKU-14199
2908,Candy Group,Otsein Hoover,Freezer,200,SKU-24678
2909,Mondragon Corporation,Mastercook,Stove,250W,SKU-56358
2910,AB Electrolux / Investor AB,Lehel,Dish Washer,,SKU-94075
2911,BSH Hausgeräte GmbH / Robert Bosch GmbH,Neff,Dryer,325W,SKU-70544
2912,Arçelik A.Ş. / Koç Holding,Altus,Toaster,425W,SKU99222
2913,Whirlpool Corporation,Polar,Kettle,400W,SKU-59359
2914,Candy Group,Vyatka,Toaster,250W,SKU-9664
2915,Whirlpool Corporation,Brastemp,Dish Washer,0,SKU-85681
2916,"Indesit Company, Whirlpool Corporation",Elco,Dish Washer,,SKU-33546
2917,Bauknecht Hausgeräte GmbH / Whirlpool Corporation,Bauknecht,Kettle,,SKU-23705
2918,Candy Group,Otsein Hoover,Freezer,475W,SKU-37780
2919,Asko Appliances AB / Gorenje,Asko,Stove,120W,SKU-4571
2920,GlenDimple,Belling,Dish Washer,,SKU-83246
2921,Gorenje,Sidex,Dryer,475W,SKU-71844
2922,"Indesit Company, Whirlpool Corporation",Stinol,Washer,400W,SKU-16798
2923,"LG Electronics, LG Corporation",LG,Refrigerator,,SKU-32214
2924,Gorenje,Mora,Refrigerator,0,SKU-82553
2925,Arçelik A.Ş. / Koç Holding,Defy,Toaster,500W,SKU-5492
2926,AB Electrolux / Investor AB,Dometic,Freezer,200,SKU-93618
2927,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Kettle,500W,SKU-88122
2928,Liebherr Group,Liebherr,Stove,415,SKU-62977
2929,AB Electrolux / Investor AB,Alpeninox,Stove,120W,SKU-16224
2930,GlenDimplex,Stoves,Washer,250W,SKU-95119
2931,AB Electrolux / Investor AB,Dometic,Kettle,415,SKU-3384
2932,Gorenje,Etna,Washer,200,SKU-24595
2933,"Indesit Company, Whirlpool Corporation",Termogamma,Kettle,415,SKU-67668
2934,"Indesit Company, Whirlpool Corporation",Stinol,Kettle,120W,SKU-12850
2935,GlenDimplex,Dimplex,Refrigerator,200,SKU-9505
2936,"LG Electronics, LG Corporation",LG,Kettle,,SKU-9914
2937,"LG Electronics, LG Corporation",LG,Dryer,,SKU-33323
2938,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Dryer,200,SKU-46212
2939,AB Electrolux / Investor AB,Electrolux,Dryer,200,SKU-18805
2940,Montpellier Domestic Appliances Ltd,Montpellier,Freezer,0,SKU-99266
2941,Candy Group,Iberna,Dish Washer,415,SKU-67136
2942,Arçelik A.Ş. / Koç Holding,Defy,Dish Washer,,SKU-1761
2943,"Indesit Company, Whirlpool Corporation",Stinol,Dryer,,SKU46200
2944,AB Electrolux / Investor AB,Alpeninox,Freezer,0,SKU-83542
2945,GlenDimplex,Britannia,Freezer,0,SKU-79008
2946,Candy Group,Süsler,Dryer,0,SKU-77622
2947,AB Electrolux / Investor AB,Dishlex,Refrigerator,475W,SKU-28150
2948,GlenDimplex,Faber,Refrigerator,0,SKU-6675
2949,GlenDimplex,New World,Stove,0,SKU-90963
2950,Smeg Group S.p.A,Smeg,Toaster,475W,SKU-78229
2951,AB Electrolux / Investor AB,Tricity Bendix,Refrigerator,120W,SKU-8620
2952,AM Kodinkoneet Oy / Gorenje Group Nordic A/S / Gorenje,UPO,Kettle,,SKU-15545
2953,Miele & Cie. KG,Miele,Toaster,,SKU-57271
2954,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Washer,475W,SKU-57337
2955,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Dryer,,SKU-10589
2956,AB Electrolux / Investor AB,Zanussi,Washer,500W,SKU-84386
2957,De’Longhi S.p.A,DeLonghi,Dryer,0,SKU-72906
2958,Whirlpool Corporation,Kenmore,Freezer,,SKU-80296
2959,GlenDimplex,New World,Freezer,,SKU-49069
2960,AB Electrolux / Investor AB,Alpeninox,Washer,250W,SKU-56315
2961,Whirlpool Corporation,KitchenAid,Stove,200,SKU-4163
2962,Gorenje,Mora,Kettle,,SKU-44966
2963,Mondragon Corporation,Fagor,Dryer,300W,SKU-2026
2964,Whirlpool Corporation,Amana,Washer,,SKU-79839
2965,Whirlpool Corporation,Polar,Dryer,0,SKU-44658
2966,AB Electrolux / Investor AB,FAure,Stove,,SKU-75129
2967,AB Electrolux / Investor AB,Zanussi,Dish Washer,0,SKU-75690
2968,AB Electrolux / Investor AB,Zanussi,Stove,400W,SKU-81991
2969,Liebherr Group,Liebherr,Dryer,,SKU-85631
2970,The Meyer Corporatio,Hestan,Kettle,200,SKU-94888
2971,GlenDimplex,Stoves,Freezer,120W,SKU-2783
2972,Dayou Group,Daewoo,Refrigerator,300W,SKU-93716
2973,Candy Group,Hoover,Dryer,400W,SKU-47597
2974,Whirlpool Corporation,Diqua,Freezer,,SKU-41888
2975,Candy Group,Otsein Hoover,Dish Washer,,SKU-91759
2976,Whirlpool Corporation,Diqua,Kettle,,SKU-18280
2977,Candy Group,Zerowatt,Washer,0,SKU-6377
2978,AB Electrolux / Investor AB,Elektro Helios,Washer,,SKU-21512
2979,Whirlpool Corporation,Estate,Kettle,500W,SKU-52405
2980,Arçelik A.Ş. / Koç Holding,Leisure,Refrigerator,120W,SKU-49296
2981,AB Electrolux / Investor AB,Zanker,Stove,,SKU-14358
2982,Arçelik A.Ş. / Koç Holdin,Arstil,Kettle,,SKU-15560
2983,AB Electrolux / Investor AB,Corberó,Freezer,475W,SKU-97463
2984,GlenDimplex,Nobo,Washer,250W,SKU-64945
2985,GlenDimplex,Campo,Dryer,200,SKU-37832
2986,Whirlpool Corporation,Amana,Toaster,0,SKU-49756
2987,AB Electrolux / Investor AB,Electrolux ICON,Freezer,,SKU-21351
2988,Bauknecht Hausgeräte GmbH / Whirlpool Corporation,Bauknecht,Dish Washer,200,SKU-20032
2989,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Washer,250W,SKU-12055
2990,Mondragon Corporation,De Dietrich,Washer,400W,SKU-17959
2991,AB Electrolux / Investor AB,FAure,Kettle,,SKU-75102
2992,AB Electrolux / Investor AB,Gafa,Stove,475W,SKU-58700
2993,AB Electrolux / Investor AB,Anova,Kettle,,SKU-39642
2994,Arçelik A.Ş. / Koç Holdin,Beko,Toaster,120W,SKU-75721
2995,GlenDimplex,Dimplex,Dish Washer,0,SKU-48279
2996,Candy Group,Zerowatt,Kettle,400W,SKU-71577
2997,AB Electrolux / Investor AB,Voss,Kettle,425W,SKU-72017
2998,AB Electrolux / Investor AB,Electrolux ICON,Refrigerator,0,SKU-11049
2999,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Dish Washer,425W,SKU-93724
3000,AB Electrolux / Investor AB,Tappan,Dish Washer,250W,SKU-96656
3001,Gorenje,Körting,Dish Washer,0,SKU-41595
3002,Arçelik A.Ş. / Koç Holding,Dawlance,Stove,,SKU-50113
3003,BSH Hausgeräte GmbH / Robert Bosch GmbH,Gaggenau,Stove,,SKU-82805
3004,AB Electrolux / Investor AB,Dometic,Kettle,300W,SKU-10694
3005,GlenDimple,Belling,Kettle,0,SKU-96257
3006,AB Electrolux / Investor AB,Westinghouse,Refrigerator,325W,SKU-42466
3007,Whirlpool Corporation,Consul,Refrigerator,425W,SKU-55145
3008,AB Electrolux / Investor AB,Zanussi,Washer,,SKU-58431
3009,Fnac,ProLine,Toaster,,SKU-85733
3010,Mondragon Corporation,Fagor,Dryer,325W,SKU-13211
3011,AB Electrolux / Investor AB,Dishlex,Kettle,0,SKU-36382
3012,Candy Group,Süsler,Washer,425W,SKU-10621
3013,Candy Group,Rosières,Dish Washer,0,SKU-50894
3014,Whirlpool Corporation,Indesit Company,Stove,0,SKU-84809
3015,AB Electrolux / Investor AB,Gafa,Toaster,250W,SKU-14521
